vessel_id,SpeedOG,FOCDeviation,wind_speed,draft
1007,17.49,22.9,9.45,10.005
1007,17.31,25.9,9.45,9.98
1007,17.45,23.8,9.45,9.985
1007,17.72,18.6,9.45,9.99
1007,18.05,12.2,9.45,10
1007,18.03,12.6,9.45,9.99
1007,18.08,10.2,9.45,10
1007,17.75,19.2,12.1,9.99
1007,17.87,18.7,12.1,9.99
1007,17.82,18.2,12.1,9.995
1007,17.71,21.2,12.1,9.975
1007,17.51,24.7,12.1,9.985
1007,17.7,21.8,12.1,10.005
1007,17.75,20.6,12.1,9.995
1007,17.8,19.9,12.1,9.995
1007,17.75,19.6,12.1,10.015
1007,17.64,21.3,12.1,10.005
1007,17.23,28.5,12.1,9.975
1007,16.83,37.6,12.1,10
1007,17.19,30.9,12.78,10.01
1007,17.45,23.6,12.78,10.01
1007,17.29,26.9,12.78,10.005
1007,17.4,25.5,12.78,10.015
1007,17.44,25.6,12.78,10.005
1007,17.32,25.8,12.78,10.01
1007,17.22,29.4,12.78,10.015
1007,17.33,26.6,12.78,10
1007,17.34,26.7,12.78,10.005
1007,17.67,20.5,12.78,10.01
1007,17.79,17.3,12.78,10.005
1007,17.85,16.7,12.78,10.02
1007,17.8,14.5,12.84,10.015
1007,17.8,14.5,12.84,10.005
1007,17.85,15.1,12.84,10.015
1007,17.56,18.8,12.84,10.01
1007,17.56,19.7,12.84,10.005
1007,17.79,16.4,12.84,10.03
1007,18.14,9.8,12.84,10.03
1007,18.19,8.8,12.84,10.02
1007,18.08,10.1,12.84,10.015
1007,18.19,8.2,12.84,10.015
1007,17.41,14.5,12.7,10.04
1007,17.7,8.8,12.7,10.03
1007,17.83,18.4,12.1,10.03
1007,17.68,21,12.1,10.02
1007,17.69,21.5,12.1,10.03
1007,17.48,24.6,12.1,10.025
1007,17.9,19.1,12.1,10.03
1007,18.1,13.2,12.1,10.03
1007,17.88,16.5,12.1,10.025
1007,17.7,20.4,12.1,10.02
1007,17.59,21,12.1,10.01
1007,17.63,20.6,12.1,9.995
1007,17.41,25.9,12.1,10
1007,17.56,23.4,12.1,10
